9,4.5
10,6.3
11,6.7
12,6.7
13,7.6
14,8.2
15,9.2
16,11.0
17,11.7
18,12.8
19,14.5
20,14.3
21,16.5
22,18.0
23,19.9
24,20.4
25,22.4
26,23.4
27,24.9
28,24.8
29,25.8
30,26.3
31,27.0
32,28.8
33,29.6
34,31.5
35,30.6
36,31.3
37,32.6
38,34.4
39,35.5
40,37.4
41,37.9
42,39.1
43,39.9
44,40.5
45,42.4
46,42.0
47,42.7
48,43.0
49,42.9
50,43.8
51,45.1
52,46.3
53,47.6
54,49.5
55,50.7
56,52.8
57,53.0
58,55.7
59,57.1
60,57.9
61,58.8
62,60.0
63,60.7
64,61.8
65,63.1
66,64.1
67,66.6
68,66.4
69,66.5
70,68.4
71,69.8
72,68.9
73,69.6
74,69.6
75,71.0
76,71.6
77,71.3
78,72.6
79,73.4
80,74.5
81,75.7
82,77.2
83,78.9
84,81.2
85,81.9
86,83.3
87,85.3
88,86.6
89,89.6
90,90.3
91,90.6
92,91.5
93,91.7
94,91.4
95,91.3
96,91.9
97,92.0
98,92.0
99,92.4
